,YEAR,BOARDS,ALIGHTS
Calumet,1991,1145,1204
Calumet,1989,1351,1243
Calumet,1987,1052,1020
Calumet,1985,944,931
Calumet,1983,764,765
Calumet,1979,850,0
Carroll Avenue (Michigan City),2006,184,210
Carroll Avenue (Michigan City),2002,158,157
Carroll Avenue (Michigan City),1999,148,126
Carroll Avenue (Michigan City),1997,160,154
Carroll Avenue (Michigan City),1989,94,101
Cary,2018,883,897
Cary,2016,941,893
Cary,2014,873,869
Cary,2006,988,940
Cary,2002,1035,1020
Cary,1999,951,965
Cary,1997,899,886
Cary,1995,973,959
Cary,1993,853,822
Cary,1991,732,732
Cary,1989,615,611
Cary,1987,516,511
Cary,1985,478,433
Cary,1983,457,451
Cary,1979,619,0
Central Street (Evanston),2018,1346,1297
Central Street (Evanston),2016,1428,1303
Central Street (Evanston),2014,1197,1169
Central Street (Evanston),2006,1234,1199
Central Street (Evanston),2002,1276,1251
Central Street (Evanston),1999,1246,1230
Central Street (Evanston),1997,1161,1138
Central Street (Evanston),1995,1210,1171
Central Street (Evanston),1993,1226,1184
Central Street (Evanston),1991,1317,1229
Central Street (Evanston),1989,1118,1030
Central Street (Evanston),1987,1039,1016
Central Street (Evanston),1985,845,833
Central Street (Evanston),1983,771,759
Central Street (Evanston),1979,1068,0
Cheltenham (79th Street),2018,47,37
Cheltenham (79th Street),2016,55,67
Cheltenham (79th Street),2014,79,66
Cheltenham (79th Street),2006,114,110
Cheltenham (79th Street),2002,174,174
Cheltenham (79th Street),1999,232,248
Cheltenham (79th Street),1997,172,167
Cheltenham (79th Street),1995,192,207
Cheltenham (79th Street),1993,207,190
Cheltenham (79th Street),1991,288,278
Cheltenham (79th Street),1989,258,268
Cheltenham (79th Street),1987,236,265
Cheltenham (79th Street),1985,284,306
Cheltenham (79th Street),1983,232,235
Cheltenham (79th Street),1979,372,0
Chicago Ridge,2018,372,322
Chicago Ridge,2016,339,355
Chicago Ridge,2014,332,364
Chicago Ridge,2006,406,376
Chicago Ridge,2002,372,365
Chicago Ridge,1999,485,451
Chicago Ridge,1997,520,494
Chicago Ridge,1995,474,491
Chicago Ridge,1993,455,439
Chicago Ridge,1991,447,449
Chicago Ridge,1989,466,451
Chicago Ridge,1987,425,425
Chicago Ridge,1985,257,253
Chicago Ridge,1983,227,223
Chicago Ridge,1979,226,0
Cicero,2018,136,183
Cicero,2016,185,235
Cicero,2014,196,203
Cicero,2006,246,281
Cicero,2002,281,299
Cicero,1999,256,260
Cicero,1997,208,255
Cicero,1995,249,223
Cicero,1993,225,239
Cicero,1991,182,171
Cicero,1989,245,245
Cicero,1987,213,212
Cicero,1985,232,224
Cicero,1983,276,332
Cicero,1979,558,0
Clarendon Hills,2018,799,791
Clarendon Hills,2016,806,829
Clarendon Hills,2014,808,740
Clarendon Hills,2006,799,822
Clarendon Hills,2002,885,878
Clarendon Hills,1999,957,947
Clarendon Hills,1997,902,919
Clarendon Hills,1995,928,914
Clarendon Hills,1993,990,955
Clarendon Hills,1991,986,971
Clarendon Hills,1989,1011,1049
Clarendon Hills,1987,1117,1087
Clarendon Hills,1985,1032,951
Clarendon Hills,1983,1078,997
Clarendon Hills,1979,1120,0
Clybourn,2018,1674,1766
Clybourn,2016,1831,2027
Clybourn,2014,1599,1577
Clybourn,2006,1466,1610
Clybourn,2002,1020,1377
Clybourn,1999,1010,1237
Clybourn,1997,879,1265
Clybourn,1995,999,1227
Clybourn,1993,854,1147
Clybourn,1991,676,1177
Clybourn,1989,687,914
Clybourn,1987,486,487
Clybourn,1985,385,375
Clybourn,1983,382,413
Clybourn,1979,1078,0
Clyde,2006,64,68
Clyde,2002,71,68
Clyde,1999,64,66
Clyde,1997,80,70
Clyde,1995,89,94
Clyde,1993,110,117
Clyde,1991,113,140
Clyde,1989,128,143
Clyde,1987,129,114
Clyde,1985,116,150
Clyde,1983,131,157
Clyde,1979,208,0
College Avenue,2018,1059,1009
College Avenue,2016,918,891
College Avenue,2014,1057,1048
College Avenue,2006,952,962
College Avenue,2002,840,850
College Avenue,1999,981,985
College Avenue,1997,973,963
College Avenue,1995,1031,1014
College Avenue,1993,970,953
College Avenue,1991,999,967
College Avenue,1989,946,930
College Avenue,1987,993,964
College Avenue,1985,838,843
College Avenue,1983,838,834
College Avenue,1979,975,0
Congress Park,2018,368,340
Congress Park,2016,290,269
Congress Park,2014,250,225
Congress Park,2006,176,100
Congress Park,2002,118,76
Congress Park,1999,86,77
Congress Park,1997,126,74
Congress Park,1995,113,94
Congress Park,1993,107,100
Congress Park,1991,105,109
Congress Park,1989,116,142
Congress Park,1987,149,149
Congress Park,1985,168,145
Congress Park,1983,129,128
Congress Park,1979,151,0
Cragin,2006,37,33
Cragin,2002,29,36
Cragin,1999,38,41
Cragin,1997,53,54
Cragin,1995,39,54
Cragin,1993,53,45
Cragin,1991,44,33
Cragin,1989,54,48
Cragin,1987,61,61
Cragin,1985,104,110
Cragin,1983,111,93
Cragin,1979,232,0
Crystal Lake,2018,1138,1071
Crystal Lake,2016,1199,1170
Crystal Lake,2014,1238,1263
Crystal Lake,2006,1370,1399
Crystal Lake,2002,1579,1576
Crystal Lake,1999,1501,1493
Crystal Lake,1997,1495,1473
Crystal Lake,1995,1463,1430
Crystal Lake,1993,1316,1325
Crystal Lake,1991,1248,1238
Crystal Lake,1989,1105,1081
Crystal Lake,1987,1084,1130
Crystal Lake,1985,954,997
Crystal Lake,1983,907,907
Crystal Lake,1979,1173,0
Cumberland,2018,442,427
Cumberland,2016,455,418
Cumberland,2014,431,414
Cumberland,2006,393,424
Cumberland,2002,393,385
Cumberland,1999,523,514
Cumberland,1997,520,507
Cumberland,1995,543,557
Cumberland,1993,559,575
Cumberland,1991,537,520
Cumberland,1989,604,583
Cumberland,1987,546,591
Cumberland,1985,567,583
Cumberland,1983,685,641
Cumberland,1979,981,0
Davis Street (Evanston),2018,1876,1980
Davis Street (Evanston),2016,1939,2134
Davis Street (Evanston),2014,2070,2060
Davis Street (Evanston),2006,1854,1937
Davis Street (Evanston),2002,1439,1507
Davis Street (Evanston),1999,1395,1427
Davis Street (Evanston),1997,1322,1390
Davis Street (Evanston),1995,1208,1251
Davis Street (Evanston),1993,1124,1177
Davis Street (Evanston),1991,1073,1154
Davis Street (Evanston),1989,951,961
Davis Street (Evanston),1987,787,817
Davis Street (Evanston),1985,709,682
Davis Street (Evanston),1983,565,569
Davis Street (Evanston),1979,1110,0
Dee Road,2018,594,552
Dee Road,2016,515,462
Dee Road,2014,570,522
Dee Road,2006,446,405
Dee Road,2002,388,385
Dee Road,1999,438,430
Dee Road,1997,389,389
Dee Road,1995,428,421
Dee Road,1993,489,454
Dee Road,1991,403,403
Dee Road,1989,416,444
Dee Road,1987,432,436
Dee Road,1985,373,345
Dee Road,1983,397,361
Dee Road,1979,621,0
Deerfield,2018,1133,1176
Deerfield,2016,1282,1136
Deerfield,2014,1247,1025
Deerfield,2006,1315,1183
Deerfield,2002,1286,1162
Deerfield,1999,1279,1211
Deerfield,1997,1307,1202
Deerfield,1995,1765,1740
Deerfield,1993,1676,1668
Deerfield,1991,1669,1666
Deerfield,1989,1528,1516
Deerfield,1987,1447,1374
Deerfield,1985,1439,1326
Deerfield,1983,1185,1204
Deerfield,1979,1722,0
Des Plaines,2018,1209,1194
Des Plaines,2016,1142,1201
Des Plaines,2014,1221,1203
Des Plaines,2006,1085,1062
Des Plaines,2002,991,1013
Des Plaines,1999,1148,1123
Des Plaines,1997,1111,1067
Des Plaines,1995,1117,1109
Des Plaines,1993,1237,1209
Des Plaines,1991,1146,1131
Des Plaines,1989,1252,1218
Des Plaines,1987,1159,1069
Des Plaines,1985,1141,1052
Des Plaines,1983,1145,1188
Des Plaines,1979,2091,0
Dune Acres,1989,19,43
Dune Park,2006,485,516
Dune Park,2002,429,440
Dune Park,1999,392,441
Dune Park,1997,378,419
Dune Park,1989,272,271
East Chicago,2006,1848,1799
East Chicago,2002,1441,1429
East Chicago,1999,1557,1585
East Chicago,1997,1544,1608
East Chicago,1989,1580,1592
Edgebrook,2018,701,571
Edgebrook,2016,609,571
Edgebrook,2014,504,575
Edgebrook,2006,544,616
Edgebrook,2002,624,607
Edgebrook,1999,578,585
Edgebrook,1997,586,574
Edgebrook,1995,587,581
Edgebrook,1993,527,507
Edgebrook,1991,385,382
Edgebrook,1989,337,344
Edgebrook,1987,328,307
Edgebrook,1985,266,243
Edgebrook,1983,197,191
Edgebrook,1979,394,0
Edison Park,2018,752,690
Edison Park,2016,694,694
Edison Park,2014,646,657
Edison Park,2006,536,549
Edison Park,2002,593,585
Edison Park,1999,547,563
Edison Park,1997,541,549
Edison Park,1995,518,539
Edison Park,1993,544,527
Edison Park,1991,402,397
Edison Park,1989,425,404
Edison Park,1987,360,349
Edison Park,1985,328,344
Edison Park,1983,383,366
Edison Park,1979,685,0
Elburn,2018,336,278
Elburn,2016,307,329
Elburn,2014,345,343
Elburn,2006,255,258
Elgin,2018,411,422
Elgin,2016,436,503
Elgin,2014,461,491
Elgin,2006,476,499
Elgin,2002,554,537
Elgin,1999,419,404
Elgin,1997,361,356
Elgin,1995,373,359
Elgin,1993,421,428
Elgin,1991,358,373
Elgin,1989,465,488
Elgin,1987,463,476
Elgin,1985,495,409
Elgin,1983,390,385
Elgin,1979,597,0
Elmhurst,2018,2540,2347
Elmhurst,2016,2344,2275
Elmhurst,2014,2313,2187
Elmhurst,2006,1833,1856
Elmhurst,2002,1785,1739
Elmhurst,1999,1776,1762
Elmhurst,1997,1805,1778
Elmhurst,1995,1768,1764
Elmhurst,1993,1730,1671
Elmhurst,1991,1704,1707
Elmhurst,1989,1783,1780
Elmhurst,1987,1787,1739
Elmhurst,1985,1635,1691
Elmhurst,1983,1521,1476
Elmhurst,1979,2068,0
Elmwood Park,2018,388,449
Elmwood Park,2016,405,411
Elmwood Park,2014,396,396
Elmwood Park,2006,392,426
Elmwood Park,2002,405,436
Elmwood Park,1999,471,442
Elmwood Park,1997,473,472
Elmwood Park,1995,471,467
Elmwood Park,1993,408,378
Elmwood Park,1991,400,394
Elmwood Park,1989,436,433
Elmwood Park,1987,483,492
Elmwood Park,1985,521,492
Elmwood Park,1983,466,502
Elmwood Park,1979,772,0
Fairview Avenue (Downers Grove),2018,415,413
Fairview Avenue (Downers Grove),2016,458,432
Fairview Avenue (Downers Grove),2014,425,378
Fairview Avenue (Downers Grove),2006,403,414
Fairview Avenue (Downers Grove),2002,445,416
Fairview Avenue (Downers Grove),1999,550,513
Fairview Avenue (Downers Grove),1997,572,520
Fairview Avenue (Downers Grove),1995,553,548
Fairview Avenue (Downers Grove),1993,604,580
Fairview Avenue (Downers Grove),1991,537,556
Fairview Avenue (Downers Grove),1989,562,543
Fairview Avenue (Downers Grove),1987,612,539
Fairview Avenue (Downers Grove),1985,635,576
Fairview Avenue (Downers Grove),1983,598,481
Fairview Avenue (Downers Grove),1979,724,0
Flossmoor,2018,859,787
Flossmoor,2016,824,758
Flossmoor,2014,830,788
Flossmoor,2006,1002,986
Flossmoor,2002,1018,1030
Flossmoor,1999,1064,1033
Flossmoor,1997,1146,1113
Flossmoor,1995,1286,1258
Flossmoor,1993,1285,1249
Flossmoor,1991,1328,1253
Flossmoor,1989,1416,1337
Flossmoor,1987,1514,1443
Flossmoor,1985,1552,1485
Flossmoor,1983,1273,1341
Flossmoor,1979,1786,0
Forest Glen,2018,376,363
Forest Glen,2016,343,355
Forest Glen,2014,351,360
Forest Glen,2006,331,333
Forest Glen,2002,332,305
Forest Glen,1999,320,288
Forest Glen,1997,239,212
Forest Glen,1995,232,233
Forest Glen,1993,197,195
Forest Glen,1991,155,132
Forest Glen,1989,124,113
Forest Glen,1987,102,97
Forest Glen,1985,75,86
Forest Glen,1983,73,78
Forest Glen,1979,158,0
Fort Sheridan,2018,259,247
Fort Sheridan,2016,274,284
Fort Sheridan,2014,266,263
Fort Sheridan,2006,279,289
Fort Sheridan,2002,285,279
Fort Sheridan,1999,276,268
Fort Sheridan,1997,276,275
Fort Sheridan,1995,296,297
Fort Sheridan,1993,279,268
Fort Sheridan,1991,338,308
Fort Sheridan,1989,354,322
Fort Sheridan,1987,394,334
Fort Sheridan,1985,313,324
Fort Sheridan,1983,311,300
Fort Sheridan,1979,401,0
Fox Lake,2018,322,299
Fox Lake,2016,356,336
Fox Lake,2014,442,392
Fox Lake,2006,632,628
Fox Lake,2002,475,460
Fox Lake,1999,547,564
Fox Lake,1997,558,551
Fox Lake,1995,500,487
Fox Lake,1993,443,435
Fox Lake,1991,433,429
Fox Lake,1989,495,479
Fox Lake,1987,445,455
Fox Lake,1985,457,450
Fox Lake,1983,405,428
Fox Lake,1979,675,0
Fox River Grove,2018,462,413
Fox River Grove,2016,451,449
Fox River Grove,2014,410,411
Fox River Grove,2006,422,417
Fox River Grove,2002,449,421
Fox River Grove,1999,428,424
Fox River Grove,1997,370,364
Fox River Grove,1995,359,342
Fox River Grove,1993,367,367
Fox River Grove,1991,350,352
Fox River Grove,1989,321,297
Fox River Grove,1987,228,280
Fox River Grove,1985,195,238
Fox River Grove,1983,209,203
Fox River Grove,1979,287,0
Franklin Park,2018,392,403
Franklin Park,2016,458,470
Franklin Park,2014,399,431
Franklin Park,2006,461,507
Franklin Park,2002,506,516
Franklin Park,1999,499,503
Franklin Park,1997,496,483
Franklin Park,1995,547,547
Franklin Park,1993,506,485
Franklin Park,1991,490,441
Franklin Park,1989,553,540
Franklin Park,1987,533,546
Franklin Park,1985,464,475
Franklin Park,1983,446,453
Franklin Park,1979,791,0
Galewood,2018,246,265
Galewood,2016,279,258
Galewood,2014,260,276
Galewood,2006,265,287
Galewood,2002,324,335
Galewood,1999,336,313
Galewood,1997,323,322
Galewood,1995,347,351
Galewood,1993,343,343
Galewood,1991,262,277
Galewood,1989,287,275
Galewood,1987,244,249
Galewood,1985,212,209
Galewood,1983,202,198
Galewood,1979,333,0
Gary / Chicago Airport,2006,146,151
Gary / Chicago Airport,2002,209,177
Gary / Chicago Airport,1999,164,146
Gary / Chicago Airport,1997,143,119
Gary / Chicago Airport,1989,133,165
Gary Metro Center,2006,632,654
Gary Metro Center,2002,537,518
Gary Metro Center,1999,569,544
Gary Metro Center,1997,543,587
Gary Metro Center,1989,771,817
Geneva,2018,1742,1681
Geneva,2016,1708,1838
Geneva,2014,1732,1713
Geneva,2006,1562,1517
Geneva,2002,1698,1722
Geneva,1999,1642,1657
Geneva,1997,1607,1584
Geneva,1995,1623,1604
Geneva,1993,1370,1364
Geneva,1991,1366,1382
Geneva,1989,1290,1299
Geneva,1987,1124,1134
Geneva,1985,955,978
Geneva,1983,872,928
Geneva,1979,1126,0
Givens,1983,27,44
Givens,1979,46,0
Gladstone Park,2018,180,200
Gladstone Park,2016,195,234
Gladstone Park,2014,169,184
Gladstone Park,2006,103,80
Gladstone Park,2002,124,131
Gladstone Park,1999,129,145
Gladstone Park,1997,111,118
Gladstone Park,1995,119,135
Gladstone Park,1993,138,132
Gladstone Park,1991,97,85
Gladstone Park,1989,94,92
Gladstone Park,1987,67,78
Gladstone Park,1985,81,63
Gladstone Park,1983,81,87
Gladstone Park,1979,106,0
Glen Ellyn,2018,1929,1738
Glen Ellyn,2016,1734,1841
Glen Ellyn,2014,1765,1724
Glen Ellyn,2006,1537,1487
Glen Ellyn,2002,1665,1629
Glen Ellyn,1999,1889,1899
Glen Ellyn,1997,1949,1914
Glen Ellyn,1995,1844,1828
Glen Ellyn,1993,1948,1921
Glen Ellyn,1991,2070,2045
Glen Ellyn,1989,2186,2137
Glen Ellyn,1987,2280,2144
Glen Ellyn,1985,1999,1937
Glen Ellyn,1983,1971,1951
Glen Ellyn,1979,2506,0
Glencoe,2018,732,633
Glencoe,2016,715,669
Glencoe,2014,457,475
Glencoe,2006,708,681
Glencoe,2002,724,708
Glencoe,1999,786,766
Glencoe,1997,774,754
Glencoe,1995,770,759
Glencoe,1993,789,784
Glencoe,1991,784,779
Glencoe,1989,841,813
Glencoe,1987,873,842
Glencoe,1985,809,716
Glencoe,1983,748,717
Glencoe,1979,903,0
Glenn,1989,80,90
Glenn,1987,93,99
Glenn,1985,72,78
Glenn,1983,51,60
Glenn,1979,106,0
Glenview,2018,1462,1459
Glenview,2016,1439,1374
Glenview,2014,1444,1388
Glenview,2006,1611,1510
Glenview,2002,1390,1360
Glenview,1999,1646,1571
Glenview,1997,1423,1398
Glenview,1995,1423,1404
Glenview,1993,1425,1448
Glenview,1991,1450,1397
Glenview,1989,1512,1464
Glenview,1987,1546,1490
Glenview,1985,1329,1351
Glenview,1983,1218,1181
Glenview,1979,1874,0
Golf,2018,355,278
Golf,2016,375,308
Golf,2014,201,200
Golf,2006,315,286
Golf,2002,264,248
Golf,1999,326,291
Golf,1997,309,259
Golf,1995,271,263
Golf,1993,288,256
Golf,1991,267,219
Golf,1989,158,164
Golf,1987,181,170
Golf,1985,143,151
Golf,1983,131,127
Golf,1979,227,0
Grand / Cicero,2018,80,92
Grand / Cicero,2016,96,101
Grand / Cicero,2014,106,118
Grayland,2018,357,324
Grayland,2016,339,330
Grayland,2014,314,330
Grayland,2006,318,315
Grayland,2002,282,275
Grayland,1999,263,262
Grayland,1997,213,192
Grayland,1995,207,191
Grayland,1993,198,153
Grayland,1991,119,122
Grayland,1989,94,103
Grayland,1987,83,95
Grayland,1985,109,115
Grayland,1983,78,81
Grayland,1979,171,0
Grayslake,2018,470,518
Grayslake,2016,494,474
Grayslake,2014,509,514
Grayslake,2006,772,798
Grayslake,2002,871,869
Grayslake,1999,827,844
Grayslake,1997,745,745
Grayslake,1995,691,674
Grayslake,1993,509,496
Grayslake,1991,369,353
Grayslake,1989,269,257
Grayslake,1987,294,286
Grayslake,1985,229,238
Grayslake,1983,196,196
Grayslake,1979,344,0
Great Lakes,2018,262,221
Great Lakes,2016,293,260
Great Lakes,2014,264,266
Great Lakes,2006,306,300
Great Lakes,2002,156,163
Great Lakes,1999,153,148
Great Lakes,1997,118,104
Great Lakes,1995,110,92
Great Lakes,1993,186,126
Great Lakes,1991,98,93
Great Lakes,1989,109,106
Great Lakes,1987,96,102
Great Lakes,1985,93,88
Great Lakes,1983,76,69
Great Lakes,1979,119,0
Gresham,2018,313,312
Gresham,2016,318,473
Gresham,2014,395,415
Gresham,2006,537,574
Gresham,2002,599,612
Gresham,1999,690,660
Gresham,1997,650,680
Gresham,1995,552,580
Gresham,1993,526,534
Gresham,1991,363,389
Gresham,1989,385,382
Gresham,1987,179,191
Gresham,1985,81,85
Gresham,1983,49,76
Gresham,1979,76,0
Halsted Street,2018,115,107
Halsted Street,2016,120,97
Halsted Street,2014,92,82
Halsted Street,2006,70,57
Halsted Street,2002,41,35
Halsted Street,1999,14,26
Halsted Street,1997,21,34
Halsted Street,1995,22,23
Halsted Street,1993,24,32
Halsted Street,1991,34,53
Halsted Street,1989,30,33
Halsted Street,1987,37,44
Halsted Street,1985,52,70
Halsted Street,1983,36,63
Halsted Street,1983,2,0
Halsted Street,1979,73,0
Halsted Street,1979,4,0
Hammond,2006,1307,1194
Hammond,2002,1126,1124
Hammond,1999,898,986
Hammond,1997,931,922
Hammond,1989,675,654
Hanover Park,2018,1238,1200
Hanover Park,2016,1486,1442
Hanover Park,2014,1414,1420
Hanover Park,2006,1482,1416
Hanover Park,2002,1431,1413
Hanover Park,1999,1506,1473
Hanover Park,1997,1460,1442
Hanover Park,1995,1356,1343
Hanover Park,1993,1455,1439
Hanover Park,1991,1171,1174
Hanover Park,1989,1150,1122
Hanover Park,1987,855,849
Hanover Park,1985,765,768
Hanover Park,1983,738,720
Hanover Park,1979,1329,0
Hanson Park,2018,58,60
Hanson Park,2016,60,66
Hanson Park,2014,46,52
Hanson Park,2006,54,51
Hanson Park,2002,53,61
Hanson Park,1999,54,55
Hanson Park,1997,76,75
Hanson Park,1995,53,66
Hanson Park,1993,49,41
Hanson Park,1991,63,50
Hanson Park,1989,43,38
Hanson Park,1987,42,44
Hanson Park,1985,63,69
Hanson Park,1983,54,58
Hanson Park,1979,159,0
Harlem Avenue,2018,451,383
Harlem Avenue,2016,421,377
Harlem Avenue,2014,497,436
Harlem Avenue,2006,530,470
Harlem Avenue,2002,532,500
Harlem Avenue,1999,698,584
Harlem Avenue,1997,676,637
Harlem Avenue,1995,738,671
Harlem Avenue,1993,788,698
Harlem Avenue,1991,768,727
Harlem Avenue,1989,859,748
Harlem Avenue,1987,758,686
Harlem Avenue,1985,718,564
Harlem Avenue,1983,680,591
Harlem Avenue,1979,659,0
Hartland,1983,7,5
Hartland,1979,2,0
Harvard,2018,265,236
Harvard,2016,221,234
Harvard,2014,275,208
Harvard,2006,274,280
Harvard,2002,259,263
Harvard,1999,222,226
Harvard,1997,203,220
Harvard,1995,235,229
Harvard,1993,181,186
Harvard,1991,170,172
Harvard,1989,140,148
Harvard,1987,112,156
Harvard,1985,104,105
Harvard,1983,84,101
Harvard,1979,136,0
Harvey,2018,471,496
Harvey,2016,542,573
Harvey,2014,640,744
Harvey,2006,937,955
Harvey,2002,1125,1190
Harvey,1999,1172,1151
Harvey,1997,1266,1238
Harvey,1995,1293,1273
Harvey,1993,1382,1422
Harvey,1991,1470,1442
Harvey,1989,1546,1571
Harvey,1987,1528,1521
Harvey,1985,1574,1770
Harvey,1983,1229,1393
Harvey,1979,2166,0
Hazel Crest,2018,261,238
Hazel Crest,2016,412,387
Hazel Crest,2014,379,389
Hazel Crest,2006,518,479
Hazel Crest,2002,608,618
Hazel Crest,1999,697,720
Hazel Crest,1997,675,681
Hazel Crest,1995,772,764
Hazel Crest,1993,802,790
Hazel Crest,1991,817,879
Hazel Crest,1989,779,793
Hazel Crest,1987,792,772
Hazel Crest,1985,740,749
Hazel Crest,1983,610,602
Hazel Crest,1979,809,0
Healy,2018,323,361
Healy,2016,345,370
Healy,2014,322,309
Healy,2006,342,342
Healy,2002,309,300
Healy,1999,272,262
Healy,1997,259,247
Healy,1995,252,254
Healy,1993,256,219
Healy,1991,216,205
Healy,1989,239,247
Healy,1987,227,215
Healy,1985,244,208
Healy,1983,226,215
Healy,1979,448,0
Hegewisch,2006,1449,1546
Hegewisch,2002,1526,1545
Hegewisch,1999,1757,1619
Hegewisch,1997,1775,1749
Hegewisch,1995,1778,1817
Hegewisch,1993,1720,1773
Hegewisch,1991,1520,1550
Hegewisch,1989,1607,1636
Hegewisch,1987,1742,1846
Hegewisch,1985,1407,1604
Hegewisch,1983,1042,1089
Hermosa,2006,35,38
Hermosa,2002,50,53
Hermosa,1999,44,57
Hermosa,1997,53,59
Hermosa,1995,62,60
Hermosa,1993,69,76
Hermosa,1991,74,85
Hermosa,1989,68,74
Hermosa,1987,79,72
Hermosa,1985,90,107
Hermosa,1983,101,105
Hermosa,1979,228,0
Hickory Creek,2018,1079,996
Hickory Creek,2016,999,923
Hickory Creek,2014,992,930
Hickory Creek,2006,1236,1272
Hickory Creek,2002,1135,1125
Hickory Creek,1999,943,958
Hickory Creek,1997,719,713
Hickory Creek,1995,801,782
Hickory Creek,1993,609,585
Highland Park,2018,1005,971
Highland Park,2016,978,985
Highland Park,2014,875,891
Highland Park,2006,1118,1087
Highland Park,2002,1107,1123
Highland Park,1999,1124,1110
Highland Park,1997,1133,1157
Highland Park,1995,1118,1058
Highland Park,1993,1171,1176
Highland Park,1991,1240,1182
Highland Park,1989,1166,1135
Highland Park,1987,1155,1100
Highland Park,1985,1204,1132
Highland Park,1983,970,963
Highland Park,1979,1417,0
Highlands,2018,202,177
Highlands,2016,203,207
Highlands,2014,167,197
Highlands,2006,176,186
Highlands,2002,213,196
Highlands,1999,228,204
Highlands,1997,238,238
Highlands,1995,269,237
Highlands,1993,223,219
Highlands,1991,207,212
Highlands,1989,202,223
Highlands,1987,256,253
Highlands,1985,231,207
Highlands,1983,210,219
Highlands,1979,281,0
Highwood,2018,242,224
Highwood,2016,293,283
Highwood,2014,314,254
Highwood,2006,279,263
Highwood,2002,311,286
Highwood,1999,270,266
Highwood,1997,258,250
Highwood,1995,246,245
Highwood,1993,290,255
Highwood,1991,290,256
Highwood,1989,267,258
Highwood,1987,261,250
Highwood,1985,236,213
Highwood,1983,230,209
Highwood,1979,368,0
Hinsdale,2018,1155,1082
Hinsdale,2016,1160,1110
Hinsdale,2014,1168,1135
Hinsdale,2006,1065,1001
Hinsdale,2002,1047,1067
Hinsdale,1999,1156,1141
Hinsdale,1997,1215,1186
Hinsdale,1995,1231,1205
Hinsdale,1993,1163,1124
Hinsdale,1991,1113,1084
Hinsdale,1989,1223,1186
Hinsdale,1987,1194,1138
Hinsdale,1985,1196,1115
Hinsdale,1983,1155,1096
Hinsdale,1979,1280,0
Hollywood (Zoo Stop),2018,120,104
Hollywood (Zoo Stop),2016,120,191
Hollywood (Zoo Stop),2014,95,108
Hollywood (Zoo Stop),2006,133,91
Hollywood (Zoo Stop),2002,129,100
Hollywood (Zoo Stop),1999,144,133
Hollywood (Zoo Stop),1997,133,106
Hollywood (Zoo Stop),1995,174,158
Hollywood (Zoo Stop),1993,123,107
Hollywood (Zoo Stop),1991,116,125
Hollywood (Zoo Stop),1989,160,141
Hollywood (Zoo Stop),1987,170,151
Hollywood (Zoo Stop),1985,147,182
Hollywood (Zoo Stop),1983,152,143
Hollywood (Zoo Stop),1979,207,0
Homewood,2018,1171,1143
Homewood,2016,1308,1237
Homewood,2014,1244,1316
Homewood,2006,1456,1494
Homewood,2002,1466,1401
Homewood,1999,1578,1617
Homewood,1997,1566,1566
Homewood,1995,1584,1575
Homewood,1993,1623,1622
Homewood,1991,1715,1678
Homewood,1989,1880,1851
Homewood,1987,1715,1747
Homewood,1985,1625,1625
Homewood,1983,1602,1666
Homewood,1979,2367,0
Hubbard Woods,2018,396,321
Hubbard Woods,2016,374,311
Hubbard Woods,2014,245,216
Hubbard Woods,2006,371,337
Hubbard Woods,2002,397,395
Hubbard Woods,1999,441,432
Hubbard Woods,1997,456,444
Hubbard Woods,1995,428,407
Hubbard Woods,1993,444,431
Hubbard Woods,1991,470,435
Hubbard Woods,1989,480,455
Hubbard Woods,1987,502,459
Hubbard Woods,1985,480,452
Hubbard Woods,1983,511,450
Hubbard Woods,1979,553,0
Hudson Lake,2006,5,9
Hudson Lake,2002,5,5
Hudson Lake,1999,2,5
Hudson Lake,1997,2,3
Hudson Lake,1989,1,1
Indian Hill,2018,387,376
Indian Hill,2016,382,373
Indian Hill,2014,201,171
Indian Hill,2006,362,386
Indian Hill,2002,368,358
Indian Hill,1999,378,404
Indian Hill,1997,375,377
Indian Hill,1995,372,382
Indian Hill,1993,372,345
Indian Hill,1991,396,338
Indian Hill,1989,395,356
Indian Hill,1987,407,365
Indian Hill,1985,349,321
Indian Hill,1983,356,326
Indian Hill,1979,488,0
Ingleside,2018,63,68
Ingleside,2016,74,92
Ingleside,2014,89,90
Ingleside,2006,150,140
Ingleside,2002,104,96
Ingleside,1999,75,71
Ingleside,1997,50,54
Ingleside,1995,27,27
Ingleside,1993,39,39
Ingleside,1991,48,47
Ingleside,1989,25,27
Ingleside,1987,23,25
Ingleside,1985,22,24
Ingleside,1983,15,27
Ingleside,1979,33,0
Irving Park,2018,439,662
Irving Park,2016,443,482
Irving Park,2014,474,479
Irving Park,2006,495,527
Irving Park,2002,451,405
Irving Park,1999,408,390
Irving Park,1997,376,360
Irving Park,1995,414,441
Irving Park,1993,407,401
Irving Park,1991,257,292
Irving Park,1989,248,249
Irving Park,1987,225,229
Irving Park,1985,196,193
Irving Park,1983,175,179
Irving Park,1979,345,0
Itasca,2018,555,569
Itasca,2016,601,602
Itasca,2014,564,520
Itasca,2006,546,518
Itasca,2002,518,535
Itasca,1999,642,621
Itasca,1997,609,603
Itasca,1995,546,530
Itasca,1993,501,512
Itasca,1991,497,519
Itasca,1989,491,475
Itasca,1987,481,483
Itasca,1985,565,543
